Date,Predicted Final Price
2025-06-12,108864.10589502292
2025-06-13,108590.55679481674
2025-06-14,108567.80527329624
2025-06-15,108773.83720277365
2025-06-16,109230.86185219866
2025-06-17,109746.29706929365
2025-06-18,110163.05841944412
2025-06-19,110536.88647533924
2025-06-20,110667.17240417653
2025-06-21,110511.66731871912
2025-06-22,110648.44997923824
2025-06-23,110714.00951854691
2025-06-24,110740.74826590362
2025-06-25,110926.4892645674
2025-06-26,111051.56136380228
2025-06-27,111143.64120500487
2025-06-28,111252.84636918982
2025-06-29,111285.93654156785
2025-06-30,111279.35246700217
2025-07-01,111281.62922276034
2025-07-02,111264.71169748284
2025-07-03,111246.61038812986
2025-07-04,111221.07645417593
2025-07-05,111188.68786752649
2025-07-06,111143.38988015037
2025-07-07,111076.32449872188
2025-07-08,110996.1083428722
2025-07-09,110896.65034036098
2025-07-10,110779.52417340621
2025-07-11,110653.64105342783
2025-07-12,110513.97318700442
2025-07-13,110360.18827767108
2025-07-14,110196.24933119115
2025-07-15,110017.34744740673
2025-07-16,109823.71643626184
2025-07-17,109616.57109123637
2025-07-18,109394.21797174816
2025-07-19,109157.7293417362
2025-07-20,108907.68197648435
2025-07-21,108643.85499012812
